station_id,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,altim_in_hg
CYXP,66.144,-65.712,7,6,VRB,2,29.32
RKJB,34.991,126.383,23,22,210,3,29.65
PAKW,55.582,-133.075,13.9,13.3,240,4,30.24
KNYG,38.503,-77.301,26.7,22.2,,,30.14
KLCH,30.1255,-93.2277,25.6,21.7,130,15,30.10
K2V6,40.1047,-102.713,36,8,130,12,30.00
KXVG,46.9942,-94.206,28,17,190,10,30.02
KSSC,33.978,-80.466,24,23,360,5,30.04
KOWA,44.1191,-93.2569,29,18,160,7,30.07
KORB,48.0171,-92.8538,28,16,220,7,29.99
KFOZ,47.7832,-93.6533,28,17,210,5,30.05
KEYW,24.5571,-81.7554,30.6,22.8,,,30.11
KETH,45.7828,-96.5461,28,18,150,15,29.96
KDVP,43.9906,-95.781,28.4,15.3,150,13,30.04
KDLF,29.3666,-100.785,33,20,180,10,30.01
KCDD,48.2601,-92.4748,29,14,220,7,30.02
KBRO,25.9146,-97.4231,28.3,25,10,6,30.04
KAQP,45.2249,-96.0041,29,18,160,12,29.97
EHLW,53.223,5.752,14,13,330,6,29.82
CYZR,42.995,-82.307,26,18,VRB,2,30.12
CYGL,53.625,-77.7,11,10,30,8,29.94
UWUU,54.57,55.87,14,13,350,16,29.73
KVAY,39.9408,-74.8407,25.6,23.9,0,0,30.16
KUIL,47.937,-124.558,17.8,13.9,220,9,30.12
KUDG,34.4474,-79.8902,24,24,340,3,30.09
KPOF,36.7697,-90.3224,22.2,20,200,4,30.12
KOAJ,34.8251,-77.6189,28,26,170,10,30.10
KLFI,37.088,-76.349,26,24,100,10,30.14
KGSO,36.0969,-79.9432,24.4,22.8,50,6,30.12
CYXC,49.614,-115.784,32,6,180,12,30.01
RKNN,37.754,128.944,22,22,330,1,29.68
KPIB,31.4727,-89.3383,29,25,70,5,30.09
KMEB,34.7913,-79.3683,26.1,24.4,100,4,30.08
CYLU,58.708,-65.989,10,6,280,16,29.65
ZYTX,41.639,123.485,21,20,VRB,2,29.65
ZYTL,38.961,121.556,22,20,90,4,29.62
ZWWW,43.907,87.474,25,10,150,4,29.65
ZSSS,31.209,121.337,26,25,150,8,29.53
ZSPD,31.146,121.8,26,24,160,6,29.56
ZSHC,30.229,120.434,26,25,260,4,29.50
ZMCK,47.651,106.822,15,15,VRB,2,29.79
ZGGG,23.392,113.307,28,26,150,2,29.65
ZBYN,37.747,112.628,23,16,80,6,29.65
ZBTJ,39.124,117.346,24,21,40,6,29.56
ZBAD,39.501,116.412,23,21,30,10,29.56
ZBAA,40.082,116.603,22,22,VRB,2,29.59
YWLM,-32.794,151.836,11,8,300,11,29.79
YSTW,-31.084,150.847,6,5,0,0,29.85
YSSY,-33.946,151.173,12,8,290,9,29.82
YSRI,-33.601,150.777,11,10,270,4,29.82
YSNF,-29.039,167.941,17,14,70,16,30.00
YSDU,-32.221,148.575,8,7,230,7,29.91
YSCB,-35.309,149.2,1,1,350,4,29.91
YPXM,-10.453,105.688,24,20,120,9,29.91
YPWR,-31.156,136.805,8,8,220,5,30.12
YPTN,-14.523,132.383,13,8,0,0,29.88
YPPH,-31.927,115.976,11,9,50,5,30.15
YPPD,-20.372,118.632,20,4,120,9,29.97
YPLM,-22.241,114.097,13,10,250,6,29.94
YPKU,-15.781,128.71,15,14,0,0,29.85
YPKG,-30.785,121.453,8,8,0,0,30.18
YPJT,-32.101,115.879,11,9,90,7,30.15
YPGV,-12.274,136.82,19,16,0,0,29.82
YPEA,-31.667,116.019,12,9,90,4,30.15
YPDN,-12.424,130.893,20,18,120,2,29.85
YPCC,-12.189,96.834,27,23,70,7,29.85
YMML,-37.666,144.832,9,8,240,5,30.00
YMHB,-42.834,147.503,5,3,310,8,29.88
YMAV,-38.029,144.478,8,8,280,5,30.00
YHID,-10.584,142.29,23,21,150,4,29.82
YGLA,-23.87,151.221,15,12,180,3,29.82
YGEL,-28.805,114.699,11,9,90,4,30.09
YFRT,-30.848,128.114,7,6,260,3,30.18
YCIN,-17.574,123.831,21,5,160,11,29.88
YCFS,-30.317,153.119,8,7,160,3,29.79
YBWW,-27.558,151.793,6,5,330,7,29.85
YBTL,-19.248,146.766,16,15,160,3,29.85
YBSU,-26.603,153.091,12,11,300,5,29.82
YBRM,-17.948,122.235,18,9,110,5,29.91
YBRK,-23.375,150.477,14,12,0,0,29.85
YBMA,-20.678,139.488,14,7,160,12,30.00
YBLN,-33.688,115.402,8,8,130,5,30.18
YBHM,-20.357,148.949,19,18,310,6,29.85
YBCS,-16.874,145.745,17,16,0,0,29.85
YBCG,-28.168,153.505,9,9,280,4,29.76
YBBN,-27.391,153.13,13,9,270,6,29.79
YBAS,-23.795,133.889,7,3,120,6,30.09
YAMB,-27.63,152.711,8,7,0,0,29.79
WSSS,1.368,103.982,26,24,VRB,2,29.76
WMKP,5.297,100.277,28,25,0,0,29.73
WMKK,2.747,101.714,26,24,VRB,1,29.76
WIPP,-2.898,104.7,26,23,140,4,29.76
WIOO,-0.151,109.404,24,24,VRB,1,29.76
WILL,-5.242,105.179,25,24,0,0,29.82
WIEE,-0.783,100.283,26,23,VRB,1,29.76
WIDN,0.923,104.532,25,24,0,0,29.73
WIDD,1.121,104.119,25,24,0,0,29.79
WIBB,0.461,101.445,25,25,180,3,29.73
WBSB,4.944,114.928,24,24,180,2,29.73
WBKK,5.937,116.051,23,22,VRB,2,29.73
WBGG,1.484,110.34,24,24,VRB,2,29.79
WATT,-10.172,123.671,22,20,130,4,29.85
WARR,-7.38,112.787,23,21,250,7,29.79
WAOO,-3.44,114.759,23,23,VRB,2,29.76
WAMM,1.541,124.926,24,23,VRB,2,29.82
WALL,-1.268,116.894,26,25,250,4,29.76
WAJJ,-2.573,140.514,24,24,VRB,1,29.70
WAHS,-6.973,110.375,26,23,VRB,2,29.79
WADL,-8.757,116.277,22,20,0,0,29.88
WADD,-8.748,115.167,26,23,110,5,29.85
WAAA,-5.062,119.554,24,20,VRB,1,29.79
VYYY,16.906,96.137,26,25,180,2,29.65
VVVD,21.118,107.414,28,27,VRB,2,29.59
VVTS,10.817,106.667,26,24,270,7,29.70
VVPQ,10.169,103.995,25,24,280,4,29.73
VVPB,16.399,107.699,28,25,160,2,29.59
VVNB,21.218,105.805,29,27,110,7,29.56
VVDN,16.044,108.199,29,24,0,0,29.59
VVCT,10.085,105.712,24,24,VRB,3,29.70
VVCR,11.998,109.219,29,23,250,9,29.62
VVCI,20.823,106.727,30,27,140,4,29.56
VTSS,6.933,100.393,25,24,0,0,29.73
VTSP,8.105,98.308,25,25,VRB,1,29.73
VTCC,18.771,98.963,26,23,360,4,29.65
VTBU,12.68,101.001,28,25,270,5,29.68
VTBS,13.686,100.767,27,23,230,3,29.68
VTBD,13.913,100.607,27,23,230,7,29.68
VOTV,8.484,76.919,26,23,VRB,2,29.76
VOTR,10.765,78.71,26,24,300,12,29.70
VOMM,12.994,80.18,26,24,250,8,29.68
VOML,12.961,74.89,23,23,350,2,29.76
VOKN,11.917,75.547,25,24,70,3,29.76
VOHS,17.233,78.429,24,22,250,10,29.70
VOGA,15.7426,73.8631,23,23,320,5,29.73
VOCL,11.137,75.955,23,23,VRB,2,29.79
VOCB,11.03,77.043,23,23,210,5,29.82
VOBL,13.205,77.704,22,21,250,8,29.88
VOBG,12.949,77.663,23,22,250,8,29.88
VNKT,27.697,85.359,21,21,VRB,2,29.76
VMMC,22.141,113.596,30,27,180,11,29.62
VILK,26.761,80.889,28,26,VRB,2,29.44
VIJP,26.824,75.812,27,25,260,4,29.53
VIDP,28.567,77.117,30,26,240,7,29.50
VIAR,31.707,74.801,26,25,80,4,29.47
VHHH,22.309,113.922,30,25,170,4,29.62
VGHS,23.846,90.4,27,26,180,5,29.53
VEPT,25.591,85.088,30,29,110,4,29.47
VEGT,26.107,91.587,29,28,140,3,29.50
VECC,22.651,88.445,28,26,150,3,29.50
VEBS,20.244,85.818,27,26,270,2,29.53
VDSV,10.582,103.637,24,24,30,8,29.73
VDSA,13.371,104.225,27,25,260,8,29.68
VDPP,11.547,104.844,27,23,220,7,29.68
VANP,21.089,79.055,28,26,220,3,29.59
VABB,19.1,72.859,25,24,220,7,29.65
VAAH,23.077,72.635,28,25,190,10,29.53
UWWW,53.509,50.163,16,8,20,14,29.88
UWSG,51.713,46.171,20,6,350,10,29.94
UWPS,54.116,45.203,16,6,50,6,30.03
UWOO,51.795,55.457,15,14,350,23,29.47
UWLL,54.274,48.236,16,6,350,8,29.97
UWKS,56.09,47.347,14,8,50,6,30.06
UWKE,55.566,52.1,13,9,10,14,29.94
UWKD,55.61,49.275,14,7,360,10,30.00
UWGG,56.225,43.786,15,11,VRB,2,30.06
UUYY,61.647,50.845,10,9,230,2,30.12
UUWW,55.592,37.261,21,13,190,4,30.00
UUOO,51.814,39.228,17,11,120,2,30.03
UUOL,52.702,39.534,18,11,70,2,30.06
UUOK,51.751,36.297,22,12,120,6,30.00
UUOB,50.644,36.59,24,11,80,6,30.03
UUEE,55.973,37.415,24,13,200,6,30.00
UUDL,57.561,40.157,17,13,120,2,30.03
UUDD,55.409,37.906,21,13,150,6,30.00
UUBW,55.553,38.15,19,14,120,6,30.00
UUBC,54.552,36.37,17,16,320,2,30.00
UTTT,41.258,69.281,30,10,150,8,29.59
UTST,37.287,67.318,28,11,220,6,29.53
UTSS,39.7,66.974,25,13,190,6,29.65
UTSK,38.804,65.773,30,12,VRB,2,29.59
UTSB,39.775,64.483,28,10,300,8,29.56
UTSA,40.116,65.167,25,6,330,6,29.59
UTNU,41.584,60.642,28,16,210,6,29.53
UTNN,42.488,59.623,28,10,270,10,29.53
UTFN,40.983,71.573,27,12,30,4,29.62
UTFF,40.356,71.745,27,10,60,6,29.62
UTDT,37.866,68.865,25,16,VRB,2,29.50
UTDL,40.215,69.695,28,12,250,8,29.59
UTDK,37.988,69.805,27,11,20,12,29.62
UTDD,38.543,68.825,27,11,90,4,29.62
USTR,57.19,65.324,19,18,40,8,29.73
USSS,56.745,60.792,14,14,350,10,29.82
USRR,61.342,73.422,19,15,340,4,29.73
USPP,57.914,56.021,14,10,360,8,29.94
USNN,60.959,76.497,18,15,0,0,29.70
USHH,61.029,69.086,18,14,10,6,29.82
USDA,71.216,72.05,1,1,350,12,29.94
USCC,55.306,61.503,19,18,20,14,29.65
URWW,48.788,44.336,20,6,360,6,29.94
URWI,46.374,44.331,22,2,40,10,29.88
URWA,46.286,47.995,24,7,340,8,29.79
URSS,43.438,39.926,23,20,30,10,29.76
URRP,47.494,39.925,26,6,50,12,29.91
URMT,45.108,42.1,24,5,70,12,29.91
URMO,43.204,44.608,22,18,110,4,29.85
URMM,44.225,43.082,27,10,70,10,29.85
URML,42.817,47.652,27,24,80,6,29.76
URMG,43.387,45.702,28,14,90,14,29.79
URKK,45.033,39.15,29,10,50,16,29.79
URKA,44.995,37.341,27,15,70,10,29.79
UNWW,53.811,86.878,15,14,0,0,29.76
UNTT,56.381,85.207,15,14,130,2,29.76
UNOO,54.964,73.32,20,19,70,6,29.70
UNNT,55.013,82.651,14,13,290,2,29.73
UNKL,56.173,92.493,12,12,0,0,29.79
UNEE,55.27,86.107,16,13,340,4,29.76
UNBB,53.362,83.54,18,16,90,4,29.73
UNAA,53.74,91.385,17,14,350,4,29.73
UMMS,53.883,28.031,24,21,80,6,29.94
UMKK,54.885,20.583,19,19,40,4,29.94
UMIO,54.44,30.297,20,19,90,4,29.97
ULWC,59.281,38.019,20,12,160,6,29.94
ULMM,68.781,32.749,15,15,340,2,29.76
ULLI,59.798,30.267,19,17,310,8,29.91
ULAA,64.599,40.712,17,13,140,8,29.91
UIUU,51.808,107.443,16,15,130,2,29.73
UIII,52.273,104.38,14,14,280,8,29.82
UIBB,56.365,101.716,15,15,280,8,29.73
UIAA,52.026,113.31,17,16,0,0,29.73
UHWW,43.399,132.146,14,14,0,0,29.73
UHSS,46.887,142.719,12,12,340,4,29.68
UHPP,53.175,158.444,12,10,340,4,29.88
UHMA,64.733,177.739,9,6,350,8,29.73
UHHH,48.527,135.184,14,13,0,0,29.76
UGTB,41.669,44.955,26,16,330,11,29.82
UGSB,41.61,41.6,25,23,120,5,29.76
UGMS,43.055,42.75,15,12,40,3,30.09
UGKO,42.177,42.483,21,20,20,5,29.73
UGAM,42.527,43.135,19,19,150,3,29.88
UEEE,62.093,129.774,15,14,330,4,29.79
UDYZ,40.147,44.396,27,13,20,14,29.76
UDSG,40.75,43.859,21,14,60,7,30.00
UCFO,40.61,72.791,22,14,80,6,29.70
UCFM,43.061,74.478,23,11,150,4,29.59
UBBZ,39.094,46.734,26,13,10,4,29.85
UBBN,39.189,45.458,28,12,110,12,29.70
UBBG,40.738,46.318,27,15,VRB,2,29.76
UBBF,39.595,47.196,25,16,330,6,29.79
UBBB,40.469,50.061,25,18,280,4,29.76
UAUU,53.215,63.553,21,18,30,10,29.44
UATT,50.248,57.203,18,16,330,14,29.29
UATG,47.122,51.829,22,9,340,10,29.68
UATE,43.86,51.092,24,11,320,8,29.73
UASP,52.202,77.078,22,16,80,8,29.65
UARR,51.151,51.541,17,10,340,19,29.70
UAOO,44.707,65.593,23,12,230,4,29.44
UAKK,49.672,73.333,13,12,100,6,29.62
UAKD,47.711,67.739,20,15,130,10,29.44
UAIT,43.311,68.55,24,16,140,8,29.53
UAII,42.366,69.476,22,17,40,6,29.62
UADD,42.854,71.304,25,12,360,4,29.62
UACC,51.024,71.468,17,15,90,8,29.59
TFFR,16.265,-61.532,29,26,130,5,30.00
TFFJ,17.904,-62.844,31,26,60,21,30.00
TFFF,14.591,-61.003,28,26,130,11,29.97
SPZO,-13.536,-71.939,19,-5,310,11,30.44
SPJR,-7.139,-78.489,22,7,VRB,4,30.30
SOCA,4.822,-52.365,30,24,VRB,7,29.88
SKBO,4.706,-74.151,13,12,90,5,30.35
ROAH,26.196,127.646,29,27,190,12,29.70
RKSI,37.469,126.451,22,22,30,1,29.65
RJTT,35.553,139.781,24,23,290,3,29.70
RJGG,34.858,136.805,23,21,270,6,29.70
RJFF,33.584,130.452,25,23,VRB,2,29.65
RJCC,42.774,141.693,19,17,350,7,29.70
RJBB,34.434,135.233,23,22,140,3,29.70
RJAA,35.765,140.386,22,22,VRB,1,29.70
RCTP,25.078,121.233,28,26,240,7,29.65
OTBD,25.261,51.565,38,24,190,3,29.35
OPPS,33.996,71.515,29,18,230,8,29.47
OPKC,24.902,67.139,31,26,250,10,29.44
OPIS,33.551,72.827,23,18,130,6,29.50
OIZH,29.472,60.901,29,6,50,6,29.76
OIYY,31.905,54.276,32,5,190,6,29.76
OISS,29.539,52.59,32,7,310,4,29.73
OIMM,36.236,59.639,21,19,350,6,29.88
OIKB,27.218,56.378,34,28,200,6,29.32
OIII,35.686,51.304,33,4,0,0,29.79
OIFM,32.752,51.866,29,6,150,4,29.88
OIAW,31.343,48.751,42,11,290,8,29.23
OBBI,26.271,50.634,40,18,220,4,29.32
NZWN,-41.331,174.806,9,5,160,4,30.50
NZQN,-45.021,168.739,-4,-5,40,6,30.41
NZCH,-43.489,172.528,-1,-2,0,0,30.59
NZAA,-37.008,174.792,5,3,190,5,30.32
NWWW,-22.015,166.213,21,19,120,3,29.76
NTAA,-17.554,-149.607,28,23,330,5,29.91
NLWW,-13.238,-176.199,28,25,80,12,29.76
NIUE,-19.079,-169.926,22,20,100,6,29.88
NCRG,-21.203,-159.806,24,20,80,7,29.94
LZZI,49.231,18.613,19,19,240,28,29.88
LZTT,49.068,20.25,23,19,270,5,29.91
LZPP,48.613,17.832,23,21,30,6,29.76
LZKZ,48.661,21.24,28,20,140,4,29.82
LZIB,48.17,17.207,22,20,240,6,29.73
LYVR,45.147,21.31,33,10,140,15,29.82
LYTV,42.405,18.723,25,23,VRB,1,29.79
LYPG,42.359,19.252,29,24,210,4,29.79
LYNI,43.338,21.863,29,14,110,7,29.85
LYKV,43.818,20.587,27,16,VRB,1,29.82
LYBT,44.935,20.258,30,17,100,7,29.79
LYBE,44.824,20.291,30,17,110,8,29.79
LUKK,46.928,28.931,30,14,110,5,29.88
LRTR,45.811,21.333,27,18,100,6,29.82
LRTM,46.468,24.421,24,19,0,0,29.91
LRTC,45.065,28.716,26,14,290,3,29.88
LRSV,47.686,26.354,25,16,270,4,29.94
LRSM,47.703,22.886,27,21,90,4,29.85
LRSB,45.789,24.091,23,17,240,4,29.94
LROP,44.572,26.102,28,9,110,5,29.88
LROD,47.036,21.896,29,20,90,6,29.82
LRIA,47.164,27.627,30,15,100,4,29.88
LRCV,44.31,23.867,29,11,0,0,29.85
LRCL,46.783,23.676,26,18,270,2,29.91
LRCK,44.362,28.488,25,16,20,6,29.88
LRBV,-99.99,-99.99,23,15,210,4,29.97
LRBS,44.511,26.078,32,12,110,7,29.88
LRBM,47.658,23.47,25,17,VRB,1,29.88
LRBC,46.522,26.91,25,16,240,4,29.91
LRAR,46.176,21.264,30,18,130,8,29.82
LQTZ,44.461,18.728,26,24,90,3,29.79
LQSA,43.825,18.331,26,17,110,3,29.88
LQMO,43.285,17.84,30,16,130,5,29.79
LQBK,44.937,17.299,29,25,260,5,29.76
LPPT,38.781,-9.136,21,15,310,12,29.97
LPPS,33.073,-16.35,22,17,10,9,30.09
LPPR,41.235,-8.684,18,15,310,7,29.97
LPPD,37.741,-25.698,23,22,250,11,30.09
LPMA,32.698,-16.774,23,17,360,12,30.06
LPHR,38.521,-28.714,24,21,280,18,30.03
LPFR,37.014,-7.966,29,14,280,13,29.85
LPCS,38.725,-9.355,19,16,350,19,29.97
LPAZ,36.971,-25.171,24,22,240,11,30.12
LKTB,49.151,16.694,21,19,320,4,29.73
LKPR,50.101,14.26,18,17,VRB,2,29.79
LKPD,50.016,15.74,20,19,290,8,29.79
LKNA,49.166,16.125,19,18,220,5,29.76
LKMT,49.696,18.111,21,19,200,10,29.82
LKCV,49.94,15.382,20,19,300,5,29.79
LJPZ,45.473,13.615,26,21,130,4,29.79
LJMB,46.48,15.682,22,20,140,2,29.82
LJLJ,46.218,14.477,22,20,120,2,29.85
LJCE,45.899,15.523,24,20,VRB,1,29.79
LHBP,47.437,19.256,29,17,110,5,29.76
LFYR,47.32,1.688,18,14,0,0,29.97
LFVP,46.764,-56.169,16,16,250,11,30.03
LFTW,43.757,4.416,25,12,300,8,29.91
LFTH,43.094,6.146,26,19,VRB,3,29.79
LFSX,47.783,6.364,,,310,6,29.94
LFST,48.549,7.64,20,16,300,7,29.88
LFSO,48.583,5.955,15,12,290,7,29.94
LFSN,48.692,6.231,17,14,300,6,29.94
LFSL,45.04,1.486,18,8,280,6,30.06
LFSI,48.631,4.904,17,14,310,4,29.94
LFSG,48.325,6.07,16,13,280,7,29.94
LFSD,47.269,5.09,17,13,280,11,29.97
LFSB,47.614,7.51,19,18,220,5,29.91
LFRZ,47.312,-2.163,17,13,280,9,30.00
LFRV,47.722,-2.727,15,11,320,6,30.03
LFRU,48.601,-3.814,14,13,320,5,30.03
LFRT,48.536,-2.853,15,13,320,6,30.03
LFRS,47.15,-1.609,16,13,240,6,30.03
LFRQ,47.975,-4.168,14,13,310,10,30.06
LFRO,48.755,-3.469,15,12,310,6,30.03
LFRN,48.069,-1.734,16,12,350,4,30.00
LFRM,47.949,0.202,18,12,270,6,29.97
LFRL,48.279,-4.439,14,13,320,10,30.06
LFRK,49.18,-0.456,16,13,10,5,30.00
LFRJ,48.527,-4.138,14,12,310,8,30.06
LFRI,46.702,-1.379,16,11,280,6,30.06
LFRH,47.761,-3.44,16,12,280,8,30.03
LFRG,49.365,0.154,15,13,VRB,3,30.00
LFRD,48.589,-2.075,15,12,310,8,30.03
LFRC,49.65,-1.47,15,12,50,2,30.00
LFRB,48.444,-4.412,14,13,320,9,30.06
LFQQ,50.562,3.089,15,11,320,9,29.97
LFQB,48.325,4.02,17,13,300,6,29.97
LFQA,49.21,4.155,14,14,320,5,29.97
LFPV,48.77,2.205,15,12,340,6,29.97
LFPT,49.097,2.041,15,13,20,3,29.97
LFPO,48.717,2.384,16,12,340,6,29.97
LFPN,48.752,2.114,16,12,10,7,29.97
LFPM,48.611,2.68,16,13,30,3,29.97
LFPG,49.015,2.534,15,13,20,8,29.97
LFPB,48.967,2.428,15,13,360,6,29.97
LFOZ,47.897,2.163,16,13,190,4,29.97
LFOV,48.031,-0.746,16,11,290,4,30.00
LFOT,47.444,0.728,18,9,260,5,29.97
LFOP,49.383,1.182,14,12,350,6,30.00
LFOK,48.777,4.165,15,13,320,5,29.97
LFOJ,47.985,1.754,18,12,250,4,29.94
LFOH,49.533,0.091,15,13,90,5,30.00
LFOE,49.025,1.222,15,12,340,3,30.00
LFOB,49.454,2.113,14,13,0,0,29.97
LFOA,47.052,2.642,17,12,240,2,30.00
LFMY,43.604,5.108,26,15,300,9,29.85
LFMV,43.911,4.903,25,16,330,13,29.88
LFMU,43.322,3.353,24,12,290,13,29.94
LFMT,43.577,3.963,26,12,310,13,29.91
LFMP,42.737,2.873,22,13,290,12,29.97
LFMO,44.144,4.861,24,16,350,14,29.88
LFMN,43.658,7.216,25,22,200,4,29.82
LFML,43.438,5.216,28,16,300,21,29.85
LFMK,43.214,2.31,20,15,270,9,30.03
LFMI,43.516,4.935,27,14,310,16,29.85
LFMH,45.533,4.293,17,12,20,6,30.03
LFMD,43.544,6.953,25,22,VRB,2,29.79
LFMC,43.383,6.386,26,21,VRB,3,29.82
LFLY,45.726,4.938,19,13,360,6,30.03
LFLX,46.87,1.741,16,12,210,6,30.00
LFLW,44.899,2.421,15,11,VRB,3,30.06
LFLS,45.363,5.329,18,14,VRB,3,30.00
LFLP,45.93,6.106,17,15,VRB,2,30.00
LFLN,46.412,4.025,16,13,280,4,30.00
LFLL,45.726,5.078,19,14,360,6,30.03
LFLC,45.787,3.169,16,12,30,3,30.03
LFLB,45.637,5.883,18,17,VRB,2,30.00
LFKS,41.924,9.406,26,23,140,1,29.82
LFKJ,41.924,8.803,26,18,0,0,29.85
LFKF,41.501,9.098,25,19,210,9,29.82
LFKC,42.531,8.793,25,21,VRB,3,29.85
LFKB,42.553,9.484,25,20,110,2,29.82
LFJR,47.562,-0.317,17,12,260,4,30.00
LFJL,48.982,6.251,15,13,300,8,29.94
LFGJ,47.044,5.427,18,13,310,5,29.97
LFGA,48.11,7.359,20,15,290,7,29.88
LFCR,44.41,2.483,16,12,270,6,30.06
LFCK,43.556,2.289,19,16,270,9,30.06
LFBZ,43.469,-1.534,19,11,330,5,30.12
LFBY,43.69,-1.07,18,11,320,3,30.09
LFBX,45.196,0.815,18,10,280,7,30.06
LFBU,45.728,0.22,17,10,260,9,30.06
LFBT,43.189,,17,14,230,5,30.12
LFBP,43.385,-0.416,18,12,300,9,30.09
LFBO,43.621,1.379,21,11,300,10,30.06
LFBM,43.912,-0.507,18,10,290,6,30.09
LFBL,45.863,1.179,15,8,260,7,30.06
LFBI,46.584,0.309,17,10,260,8,30.00
LFBH,46.178,-1.193,16,12,290,16,30.06
LFBG,45.665,-0.316,18,11,290,10,30.06
LFBE,44.826,0.516,18,11,310,7,30.06
LFBD,44.831,-0.691,18,12,310,7,30.09
LFBC,44.533,-1.125,18,11,300,6,30.09
LFBA,44.176,0.593,19,10,290,8,30.06
LFAT,50.515,1.623,15,9,50,3,29.97
LFAQ,49.972,2.704,14,11,340,6,29.97
LFAC,50.962,1.955,14,11,350,7,29.97
LEZL,37.418,-5.893,30,13,220,12,29.82
LEZG,41.661,-1.004,24,10,300,14,29.97
LEXJ,43.429,-3.831,17,14,230,5,30.12
LEVX,42.239,-8.624,19,13,360,12,30.00
LEVT,42.872,-2.733,15,11,20,8,30.12
LEVS,40.371,-3.785,30,5,VRB,3,29.91
LEVD,41.706,-4.852,23,7,60,4,30.00
LEVC,39.489,-0.482,27,22,120,6,29.88
LETU,-99.99,-99.99,20,11,330,12,30.03
LETO,40.489,-3.451,30,4,270,5,29.88
LETL,40.404,-1.218,24,11,50,12,30.03
LEST,42.888,-8.411,16,11,10,9,30.06
LESO,43.361,-1.787,19,13,VRB,2,30.12
LESB,39.599,2.703,26,21,80,12,29.88
LESA,40.96,-5.498,25,12,110,4,29.97
LERT,36.645,-6.349,24,18,280,7,29.88
LERS,41.15,1.179,25,21,150,3,29.91
LEPP,42.777,-1.65,16,11,350,12,30.09
LEPA,39.561,2.737,26,22,70,13,29.88
LEMO,37.175,-5.616,28,14,240,12,29.85
LEMI,37.803,-1.125,26,21,100,8,29.85
LEMH,39.855,4.216,24,20,30,14,29.91
LEMG,36.666,-4.482,26,17,120,3,29.76
LEMD,40.466,-3.555,32,4,300,9,29.88
LELO,42.452,-2.331,18,11,VRB,1,30.06
LELN,42.588,-5.651,20,10,350,6,30.03
LELL,41.521,2.105,25,20,190,6,29.91
LELC,37.775,-0.812,26,23,50,8,29.85
LEJR,36.751,-6.056,26,16,270,6,29.85
LEIB,38.876,1.384,26,22,70,6,29.85
LEHC,42.082,-0.324,23,8,320,12,29.94
LEGT,40.299,-3.723,31,4,240,6,29.88
LEGR,37.19,-3.789,32,2,270,6,29.91
LEGE,41.911,2.763,22,16,50,4,29.94
LEDA,41.734,0.538,25,9,230,9,29.91
LECO,43.307,-8.372,17,11,10,7,30.09
LECH,40.211,0.067,24,21,100,5,29.94
LEBZ,38.883,-6.814,31,10,270,8,29.85
LEBT,39.58,-0.45,26,21,100,4,29.91
LEBR,42.2,-1.43,21,10,320,12,30.00
LEBL,41.293,2.07,25,21,160,4,29.91
LEBG,42.356,-3.622,14,10,50,14,30.09
LEBB,43.298,-2.906,19,13,350,4,30.12
LEBA,37.842,-4.849,34,7,250,3,29.79
LEAS,43.567,-6.044,17,12,60,3,30.12
LEAO,38.953,-3.741,30,-1,270,8,29.94
LEAM,36.846,-2.357,26,21,110,7,29.76
LEAL,38.282,-0.558,26,22,70,10,29.85
LEAG,36.129,-5.441,30,10,290,6,29.82
LEAB,38.952,-1.863,32,1,10,3,29.94
LDZD,44.108,15.347,27,18,160,3,29.79
LDZA,45.729,16.054,26,20,210,4,29.76
LDSP,43.539,16.301,29,21,20,3,29.79
LDRI,45.218,14.573,28,23,330,4,29.79
LDPL,44.894,13.922,25,23,60,3,29.79
LDOS,45.463,18.81,29,23,60,3,29.76
LDDU,42.56,18.269,29,21,VRB,1,29.82
LCPH,34.715,32.479,27,27,310,8,29.70
LCLK,34.874,33.617,29,26,220,3,29.65
LBWN,43.232,27.825,25,13,VRB,2,29.85
LBSF,42.694,23.414,27,13,150,6,29.94
LBPD,42.064,24.86,27,14,120,9,29.85
LBGO,43.151,25.713,23,16,VRB,2,29.85
LBBG,42.569,27.514,25,13,0,0,29.85
KWWR,36.4374,-99.5234,37,13,200,13,30.02
KWHP,34.2596,-118.415,29,18,100,4,29.90
KVES,40.2056,-84.5346,26,21,220,3,30.12
KUWL,39.8752,-85.3313,29,22,0,0,30.11
KUKF,36.2188,-81.1002,28,20,60,9,30.18
KUCY,36.3778,-88.9878,33,22,VRB,6,30.09
KTQK,38.4782,-100.882,38.5,9.3,130,6,29.99
KSYI,35.5594,-86.4406,34,15,0,0,30.09
KSUT,33.9292,-78.0722,28.4,23.9,170,11,30.07
KSNH,35.1731,-88.2146,34,20,VRB,6,30.07
KSGR,29.6197,-95.6575,25,22.8,50,7,30.11
KRCZ,34.8955,-79.7576,27.8,23.1,190,7,30.08
KQFW,-99.99,-99.99,21,21,10,2,29.54
KQEY,-99.99,-99.99,21,21,220,1,29.41
KQER,-99.99,-99.99,21,21,180,1,29.66
KPVE,35.6592,-88.1929,32,22,330,6,30.09
KPIE,27.9126,-82.6855,30,24.4,270,7,30.07
KOPL,30.5643,-92.1021,31.2,22.3,0,0,30.08
KMKQ,27.5197,-90.0981,33,23,0,0,30.10
KM54,36.1932,-86.3139,33,17,VRB,3,30.07
